,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
149,2.0,-2.0,0.0,0.25,64.0,9.0,-0.03833684138953686,0.19773988984525204,-0.4787883041003979,0.008554845206898642,0.10402565078296241,1.657260509930723
150,2.0,-2.0,0.0,0.5,4.0,0.0,0.0,0.3439154028892517,-1.0,5.707048216398655e-09,0.14728484481227536,2.0223741963640025
151,2.0,-2.0,0.0,0.5,4.0,1.0,0.0,0.18399543687701225,-1.0,1.0169831185068447e-08,0.10888662579122796,2.860642257966192
152,2.0,-2.0,0.0,0.5,4.0,2.0,0.0,0.07237864471971989,-1.0,2.0542742540097633e-09,0.07366827521930924,3.133770573457019
153,2.0,-2.0,0.0,0.5,4.0,3.0,0.0,0.2527444362640381,-1.0,3.784068512956271e-09,0.1129609852250474,2.2912646741059355
154,2.0,-2.0,0.0,0.5,4.0,4.0,0.0,0.20646051317453384,-1.0,6.280302931685216e-09,0.10010541016514946,2.3158514541182207
155,2.0,-2.0,0.0,0.5,4.0,5.0,0.0,0.20886997878551483,-1.0,8.307207905677845e-09,0.09937271208483675,2.344963493963226
156,2.0,-2.0,0.0,0.5,4.0,6.0,0.0,0.15428629890084267,-1.0,1.8813924967168447e-09,0.08905768824190555,2.2984035365736926
157,2.0,-2.0,0.0,0.5,4.0,7.0,0.0,0.13845673575997353,-1.0,0.01853586610841365,0.002735278217663217,98.16389128969149
158,2.0,-2.0,0.0,0.5,4.0,8.0,0.0,0.03638332895934582,-1.0,2.6900886233304932e-09,0.0417916125277086,2.9626017676386662
159,2.0,-2.0,0.0,0.5,4.0,9.0,0.0,0.16890043020248413,-1.0,3.874438664247585e-09,0.08310838507086732,2.3732732193753234
160,2.0,-2.0,0.0,0.5,8.0,0.0,0.0,0.15605288743972778,-1.0,2.55110053723578e-08,0.11182360036998512,2.043468266105089
161,2.0,-2.0,0.0,0.5,8.0,1.0,0.0,0.23170709237456322,-1.0,1.9807682712223593e-08,0.10255299354643076,2.2252611724324325
162,2.0,-2.0,0.0,0.5,8.0,2.0,0.0,0.10004162602126598,-1.0,5.6056872046632045e-09,0.07318918107071262,2.0990534006585726
163,2.0,-2.0,0.0,0.5,8.0,3.0,0.0,0.25590427964925766,-1.0,2.2025599318761215e-09,0.12555865365210855,1.9866362526679968
164,2.0,-2.0,0.0,0.5,8.0,4.0,0.0,0.14183072745800018,-1.0,1.2393327928854023e-08,0.0667031085507834,1.9601162657978572
165,2.0,-2.0,0.0,0.5,8.0,5.0,0.0,0.1581416055560112,-1.0,9.929375989325529e-09,0.09442018780370878,1.9953146187685609
166,2.0,-2.0,0.0,0.5,8.0,6.0,0.0,0.2007109560072422,-1.0,2.921321425790555e-08,0.11838973831790392,2.0749062129084495
167,2.0,-2.0,0.0,0.5,8.0,7.0,0.0,0.22989395260810852,-1.0,7.313364234747721e-09,0.10695213470109527,1.8964718204151931
168,2.0,-2.0,0.0,0.5,8.0,8.0,0.0,0.3122663199901581,-1.0,1.850609895293312e-08,0.13969441624350545,1.9035742178197113
169,2.0,-2.0,0.0,0.5,8.0,9.0,0.0,0.1114463321864605,-1.0,4.225332618510028e-06,0.08925998657000128,2.3389477263068654
170,2.0,-2.0,0.0,0.5,16.0,0.0,-0.006862497655674815,0.09448730573058128,-0.854742441799698,6.651533238608126e-09,0.056515822880256174,1.6980762712637838
